Drug1_CID,Drug2_CID,HSA_values,Bliss_values,Loewe_values,ZIP_values,HSA,Bliss,Loewe,ZIP,in_pharmacome
150311,2249,"[-9.57, -9.57]","[-24.24, -24.24]","[-9.58, -9.58]","[-24.24, -24.24]",-9.57,-24.24,-9.58,-24.24,yes
150311,2284,"[-8.23, -8.23]","[-21.97, -21.97]","[-8.23, -8.23]","[-21.97, -21.97]",-8.23,-21.97,-8.23,-21.97,yes
150311,24199313,"[1.6, 1.6]","[0.24, 0.24]","[1.6, 1.6]","[0.24, 0.24]",1.6,0.24,1.6,0.24,yes
150311,2471,"[-12.53, -12.53]","[-26.07, -26.07]","[-12.54, -12.54]","[-26.07, -26.07]",-12.53,-26.07,-12.54,-26.07,yes
150311,2477,"[1.3, 1.3]","[-13.07, -13.07]","[1.3, 1.3]","[-13.07, -13.07]",1.3,-13.07,1.3,-13.07,yes
150311,24821094,[0.186],[-8.537],[-11.962],[-6.984],0.19,-8.54,-11.96,-6.98,yes
150311,25126798,"[5.708, -1.851]","[4.868, 8.535]","[3.775, -29.853]","[2.067, 8.751]",1.93,6.7,-13.04,5.41,yes
150311,2578,"[-7.38, -7.38]","[-21.82, -21.82]","[-7.39, -7.39]","[-21.82, -21.82]",-7.38,-21.82,-7.39,-21.82,yes
150311,26879,"[10.05, 10.05]","[-4.27, -4.27]","[10.04, 10.04]","[-4.27, -4.27]",10.05,-4.27,10.04,-4.27,yes
150311,2733526,"[-18.46, -18.46]","[-30.4, -30.4]","[-18.46, -18.46]","[-30.4, -30.4]",-18.46,-30.4,-18.46,-30.4,yes
150311,2771,"[-10.4, -10.4]","[-24.21, -24.21]","[-10.4, -10.4]","[-24.21, -24.21]",-10.4,-24.21,-10.4,-24.21,yes
150311,2796,"[22.49, 22.49]","[7.89, 7.89]","[22.47, 22.47]","[7.89, 7.89]",22.49,7.89,22.47,7.89,yes
150311,3002977,"[0.3, 0.3]","[-13.4, -13.4]","[0.3, 0.3]","[-13.4, -13.4]",0.3,-13.4,0.3,-13.4,yes
150311,3019,"[5.24, 5.24]","[4.6, 4.6]","[5.24, 5.24]","[4.6, 4.6]",5.24,4.6,5.24,4.6,yes
150311,3033637,"[-7.36, -7.36]","[-20.45, -20.45]","[-7.37, -7.37]","[-20.45, -20.45]",-7.36,-20.45,-7.37,-20.45,yes
150311,3034010,"[-2.97, -2.97]","[-16.6, -16.6]","[-2.98, -2.98]","[-16.6, -16.6]",-2.97,-16.6,-2.98,-16.6,yes
150311,3034034,"[3.66, 3.66]","[-6.07, -6.07]","[3.66, 3.66]","[-6.07, -6.07]",3.66,-6.07,3.66,-6.07,yes
150311,3036780,"[1.89, 1.89]","[-11.98, -11.98]","[1.88, 1.88]","[-11.98, -11.98]",1.89,-11.98,1.88,-11.98,yes
150311,3038,"[-15.16, -15.16]","[-28.01, -28.01]","[-15.16, -15.16]","[-28.01, -28.01]",-15.16,-28.01,-15.16,-28.01,yes
150311,3052,"[2.14, 2.14]","[-12.26, -12.26]","[2.14, 2.14]","[-12.26, -12.26]",2.14,-12.26,2.14,-12.26,yes
150311,3055,"[-9.1, -9.1]","[-23.16, -23.16]","[-9.11, -9.11]","[-23.16, -23.16]",-9.1,-23.16,-9.11,-23.16,yes
